"filename", "language", "JSON", "JSON with Comments", "JavaScript", "CSS", "TypeScript", "XML", "wxml", "comment", "blank", "total"
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\media-typer\index.js", "JavaScript", 0, 0, -132, 0, 0, 0, 0, -102, -49, -283
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\merge-descriptors\index.js", "JavaScript", 0, 0, -31, 0, 0, 0, 0, -28, -14, -73
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\methods\index.js", "JavaScript", 0, 0, -47, 0, 0, 0, 0, -24, -11, -82
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\mime-db\index.js", "JavaScript", 0, 0, -8532, 0, 0, 0, 0, -11, -4, -8547
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\mime-types\index.js", "JavaScript", 0, 0, -98, 0, 0, 0, 0, -61, -42, -201
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\mime\index.js", "JavaScript", 0, 0, -64, 0, 0, 0, 0, -40, -20, -124
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\ms\index.js", "JavaScript", 0, 0, -111, 0, 0, 0, 0, -42, -12, -165
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\negotiator\index.js", "JavaScript", 0, 0, -481, 0, 0, 0, 0, -263, -189, -933
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\object-inspect\index.js", "JavaScript", 0, 0, -487, 0, 0, 0, 0, -6, -40, -533
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\on-finished\index.js", "JavaScript", 0, 0, -107, 0, 0, 0, 0, -90, -50, -247
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\parseurl\index.js", "JavaScript", 0, 0, -86, 0, 0, 0, 0, -54, -31, -171
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\path-to-regexp\index.js", "JavaScript", 0, 0, -90, 0, 0, 0, 0, -29, -23, -142
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\proxy-addr\index.js", "JavaScript", 0, 0, -178, 0, 0, 0, 0, -94, -68, -340
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\qs\index.js", "JavaScript", 0, 0, -727, 0, 0, 0, 0, -28, -145, -900
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\range-parser\index.js", "JavaScript", 0, 0, -86, 0, 0, 0, 0, -55, -34, -175
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\raw-body\index.js", "JavaScript", 0, 0, -195, 0, 0, 0, 0, -87, -60, -342
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\safe-buffer\index.js", "JavaScript", 0, 0, -62, 0, 0, 0, 0, -7, -9, -78
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\safer-buffer\index.js", "JavaScript", 0, 0, -71, 0, 0, 0, 0, -5, -14, -90
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\send\index.js", "JavaScript", 0, 0, -600, 0, 0, 0, 0, -356, -200, -1156
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\serve-static\index.js", "JavaScript", 0, 0, -122, 0, 0, 0, 0, -61, -40, -223
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\setprototypeof\index.js", "JavaScript", 0, 0, -23, 0, 0, 0, 0, -3, -4, -30
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\side-channel\index.js", "JavaScript", 0, 0, -113, 0, 0, 0, 0, -16, -8, -137
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\statuses\index.js", "JavaScript", 0, 0, -141, 0, 0, 0, 0, -53, -33, -227
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\tim-profanity-filter-plugin\index.js", "JavaScript", 0, 0, -13, 0, 0, 0, 0, -14, -1, -28
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\tim-upload-plugin\index.js", "JavaScript", 0, 0, -11, 0, 0, 0, 0, -2, -1, -14
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\tim-wx-sdk\index.js", "JavaScript", 0, 0, -11, 0, 0, 0, 0, -2, -1, -14
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\toidentifier\index.js", "JavaScript", 0, 0, -20, 0, 0, 0, 0, -18, -7, -45
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\type-is\index.js", "JavaScript", 0, 0, -107, 0, 0, 0, 0, -132, -40, -279
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\unpipe\index.js", "JavaScript", 0, 0, -41, 0, 0, 0, 0, -24, -17, -82
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\utils-merge\index.js", "JavaScript", 0, 0, -18, 0, 0, 0, 0, -16, -2, -36
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\miniprogram_npm\vary\index.js", "JavaScript", 0, 0, -82, 0, 0, 0, 0, -53, -27, -162
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\Bookshell\Bookshell.json", "JSON", -5, 0, 0, 0, 0, 0, 0, 0, 0, -5
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\Bookshell\Bookshell.ts", "TypeScript", 0, 0, 0, 0, -149, 0, 0, -37, -21, -207
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\Bookshell\Bookshell.wxml", "wxml", 0, 0, 0, 0, 0, 0, -28, 0, 0, -28
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\Bookshell\Bookshell.wxss", "CSS", 0, 0, 0, -43, 0, 0, 0, -3, -6, -52
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\ChangeSelf\ChangeSelf.json", "JSON", -3, 0, 0, 0, 0, 0, 0, 0, 0, -3
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\ChangeSelf\ChangeSelf.ts", "TypeScript", 0, 0, 0, 0, -39, 0, 0, -29, -18, -86
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\ChangeSelf\ChangeSelf.wxml", "wxml", 0, 0, 0, 0, 0, 0, -2, 0, 0, -2
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\ChangeSelf\ChangeSelf.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, -1, 0, -1
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\good\good.json", "JSON", -3, 0, 0, 0, 0, 0, 0, 0, -1, -4
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\good\good.ts", "TypeScript", 0, 0, 0, 0, -109, 0, 0, -36, -20, -165
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\good\good.wxml", "wxml", 0, 0, 0, 0, 0, 0, -24, 0, -1, -25
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\good\good.wxss", "CSS", 0, 0, 0, -32, 0, 0, 0, -2, -6, -40
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\index\index.json", "JSON", -3, 0, 0, 0, 0, 0, 0, 0, 0, -3
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\index\index.ts", "TypeScript", 0, 0, 0, 0, -20, 0, 0, -28, -18, -66
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\index\index.wxml", "wxml", 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\index\index.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\logs\logs.json", "JSON", -4, 0, 0, 0, 0, 0, 0, 0, 0, -4
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\logs\logs.ts", "TypeScript", 0, 0, 0, 0, -16, 0, 0, -2, -2, -20
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\logs\logs.wxml", "wxml", 0, 0, 0, 0, 0, 0, -6, 0, -1, -7
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\logs\logs.wxss", "CSS", 0, 0, 0, -8, 0, 0, 0, 0, -1, -9
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\个人资料设置页面\个人资料设置页面.json", "JSON", -3, 0, 0, 0, 0, 0, 0, 0, 0, -3
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\个人资料设置页面\个人资料设置页面.ts", "TypeScript", 0, 0, 0, 0, -39, 0, 0, -29, -19, -87
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\个人资料设置页面\个人资料设置页面.wxml", "wxml", 0, 0, 0, 0, 0, 0, -2, 0, -1, -3
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\个人资料设置页面\个人资料设置页面.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, -1, 0, -1
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页1\主页1.json", "JSON", -5, 0, 0, 0, 0, 0, 0, 0, 0, -5
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页1\主页1.ts", "TypeScript", 0, 0, 0, 0, -77, 0, 0, -33, -18, -128
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页1\主页1.wxml", "wxml", 0, 0, 0, 0, 0, 0, -37, 0, -9, -46
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页1\主页1.wxss", "CSS", 0, 0, 0, -43, 0, 0, 0, -3, -6, -52
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页2\主页2.json", "JSON", -3, 0, 0, 0, 0, 0, 0, 0, 0, -3
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页2\主页2.ts", "TypeScript", 0, 0, 0, 0, -38, 0, 0, -29, -20, -87
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页2\主页2.wxml", "wxml", 0, 0, 0, 0, 0, 0, -1, 0, -3, -4
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页2\主页2.wxss", "CSS", 0, 0, 0, -19, 0, 0, 0, -2, -5, -26
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页3\主页3.json", "JSON", -3, 0, 0, 0, 0, 0, 0, 0, 0, -3
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页3\主页3.ts", "TypeScript", 0, 0, 0, 0, -38, 0, 0, -29, -20, -87
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页3\主页3.wxml", "wxml", 0, 0, 0, 0, 0, 0, 0, 0, -3, -3
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页3\主页3.wxss", "CSS", 0, 0, 0, -19, 0, 0, 0, -2, -5, -26
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页4\主页4.json", "JSON", -3, 0, 0, 0, 0, 0, 0, 0, 0, -3
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页4\主页4.ts", "TypeScript", 0, 0, 0, 0, -132, 0, 0, -40, -19, -191
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页4\主页4.wxml", "wxml", 0, 0, 0, 0, 0, 0, -23, 0, -12, -35
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\主页4\主页4.wxss", "CSS", 0, 0, 0, -30, 0, 0, 0, -3, -5, -38
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\出书页\出书页.json", "JSON", -3, 0, 0, 0, 0, 0, 0, 0, 0, -3
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\出书页\出书页.ts", "TypeScript", 0, 0, 0, 0, -46, 0, 0, -29, -19, -94
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\出书页\出书页.wxml", "wxml", 0, 0, 0, 0, 0, 0, -2, 0, -1, -3
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\出书页\出书页.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, -1, 0, -1
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\商品界面\商品界面.json", "JSON", -3, 0, 0, 0, 0, 0, 0, 0, 0, -3
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\商品界面\商品界面.ts", "TypeScript", 0, 0, 0, 0, -88, 0, 0, -31, -18, -137
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\商品界面\商品界面.wxml", "wxml", 0, 0, 0, 0, 0, 0, -11, 0, -9, -20
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\商品界面\商品界面.wxss", "CSS", 0, 0, 0, -16, 0, 0, 0, 0, 0, -16
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\搜索界面\搜索界面.json", "JSON", -3, 0, 0, 0, 0, 0, 0, 0, 0, -3
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\搜索界面\搜索界面.ts", "TypeScript", 0, 0, 0, 0, -94, 0, 0, -37, -22, -153
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\搜索界面\搜索界面.wxml", "wxml", 0, 0, 0, 0, 0, 0, -4, 0, -5, -9
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\搜索界面\搜索界面.wxss", "CSS", 0, 0, 0, -7, 0, 0, 0, -1, -1, -9
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\搜索结果界面\搜索结果界面.json", "JSON", -6, 0, 0, 0, 0, 0, 0, 0, 0, -6
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\搜索结果界面\搜索结果界面.ts", "TypeScript", 0, 0, 0, 0, -141, 0, 0, -43, -19, -203
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\搜索结果界面\搜索结果界面.wxml", "wxml", 0, 0, 0, 0, 0, 0, -12, 0, -7, -19
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\搜索结果界面\搜索结果界面.wxss", "CSS", 0, 0, 0, -18, 0, 0, 0, -1, -2, -21
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\支付页面\支付页面.json", "JSON", -3, 0, 0, 0, 0, 0, 0, 0, 0, -3
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\支付页面\支付页面.ts", "TypeScript", 0, 0, 0, 0, -50, 0, 0, -29, -18, -97
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\支付页面\支付页面.wxml", "wxml", 0, 0, 0, 0, 0, 0, -2, 0, -1, -3
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\支付页面\支付页面.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, -1, 0, -1
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\收书页\收书页.json", "JSON", -3, 0, 0, 0, 0, 0, 0, 0, 0, -3
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\收书页\收书页.ts", "TypeScript", 0, 0, 0, 0, -39, 0, 0, -29, -19, -87
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\收书页\收书页.wxml", "wxml", 0, 0, 0, 0, 0, 0, -2, 0, -1, -3
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\收书页\收书页.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, -1, 0, -1
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\聊天界面\聊天界面.json", "JSON", -3, 0, 0, 0, 0, 0, 0, 0, 0, -3
